datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-09-30 23:34:00,0.0205,-0.0007,-8.0561,-8.0822,0.0261,5.3748,13.4308,0.175,0.00075,0.03,0.0046,-0.006,0.0008
2019-09-30 23:35:00,0.0208,0.0003,-8.0216,-8.0561,0.0345,5.3918,13.4134,0.175,0.00075,0.03,0.006,-0.006,0.0003
2019-09-30 23:36:00,0.02,-0.0008,-8.0162,-8.0216,0.0054,5.3976,13.4139,0.175,0.00075,0.03,0.0009,-0.006,-0.0009
2019-09-30 23:37:00,0.02,0.0,-7.9954,-8.0162,0.0208,5.4125,13.4079,0.175,0.00075,0.03,0.0036,-0.006,0.0005
2019-09-30 23:38:02,0.02,0.0,-7.9949,-7.9954,0.0005,5.4249,13.4198,0.175,0.00075,0.03,0.0001,-0.006,-0.0006
2019-09-30 23:39:00,0.02,0.0,-8.0101,-7.9949,-0.0152,5.4152,13.4253,0.175,0.00075,0.03,-0.0027,-0.006,-0.0005
2019-09-30 23:40:00,0.02,0.0,-8.0035,-8.0101,0.0066,5.4158,13.4193,0.175,0.00075,0.03,0.0012,-0.006,0.0007
2019-09-30 23:41:00,0.0214,0.0014,-7.9664,-8.0035,0.0371,5.4404,13.4068,0.175,0.00075,0.03,0.0065,-0.006,0.0009
2019-09-30 23:42:00,0.02,-0.0014,-7.9586,-7.9664,0.0078,5.4478,13.4064,0.175,0.00075,0.03,0.0014,-0.006,-0.0009
2019-09-30 23:43:00,0.02,0.0,-7.9385,-7.9586,0.0201,5.4614,13.3999,0.175,0.00075,0.03,0.0035,-0.006,0.0004
2019-09-30 23:44:00,0.0207,0.0007,-7.9033,-7.9385,0.0352,5.4729,13.3763,0.175,0.00075,0.03,0.0062,-0.0059,0.0005
2019-09-30 23:45:00,0.02,-0.0007,-7.9073,-7.9033,-0.004,5.4741,13.3814,0.175,0.00075,0.03,-0.0007,-0.0059,-0.0012
2019-09-30 23:46:00,0.02,0.0,-7.8895,-7.9073,0.0178,5.4856,13.3752,0.175,0.00075,0.03,0.0031,-0.0059,0.0007
2019-09-30 23:47:00,0.02,0.0,-7.8676,-7.8895,0.0219,5.4905,13.358,0.175,0.00075,0.03,0.0038,-0.0059,0.0001
